band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,933623740.0,840217500.0,1032814200.0,13.948387,11.880556,16.468412,58035773.0,0.021497220181479038,0.1,-0.2,0.00039787097652349015,0.0,933623740.0,0.0001782692472486289
5,2286039600.0,2137415400.0,2439154700.0,4.629076,4.0605216,5.2447677,58035773.0,0.0344454213104084,0.2,-0.3,74398.56084656074,25.0,2249812500.0,0.0001782692472486289
8,1702450200.0,1593920000.0,1814228900.0,4.385933,3.861979,4.93101,58035773.0,0.023406843440353153,0.2,0.2,13422.39212148017,75.0,1635948400.0,0.0001782692472486289
11,1339574300.0,1257730700.0,1423021700.0,3.7751532,3.4017007,4.1689105,58035773.0,0.026242339745999613,0.2,-0.1,24162.59509379505,0.0,1339574300.0,0.0001782692472486289
14,353058020.0,322949300.0,384398180.0,9.502752,8.341633,10.73237,58035773.0,0.020307479106997123,0.2,-0.6,34425.267797126624,0.0,353058020.0,0.0001782692472486289
18,69455660.0,63595304.0,75792904.0,9.606892,7.3518496,12.674908,58035773.0,0.016951358815264994,0.2,-0.2,1680.3556765216201,0.0,69455660.0,0.0001782692472486289
21,29347818.0,26458042.0,32520380.0,13.816166,10.149457,19.701677,58035773.0,0.016600878746999448,0.2,-0.5,1798.8785714285714,50.0,27199044.0,0.0001782692472486289
24,11301114.0,9601877.0,13252219.0,37.235912,26.271584,51.324577,58035773.0,0.006613033446917133,0.2,-0.9,4115.5373015873,25.0,10371154.0,0.0001782692472486289
27,4068715.5,3255766.8,5028989.0,69.35498,46.25483,97.50637,58035773.0,0.011928133200477142,0.3,-1.1,95637.24367299958,500.0,1575577.2,0.0001782692472486289
31,128309.29,96454.375,178504.66,144.85083,57.436783,414.40317,58035773.0,0.03164874377697835,0.3,-1.2,8700.924387579174,100.0,80575.16,0.0001782692472486289
