band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,45000.0,0.04,3.1,0.0271143352162324,0.04,3.09,3.593386630351524e-50,0.026982827819666544,2667
5,117000.0,0.04,2.9,0.0270040782054054,0.039,2.97,7.983361543726537e-52,0.02603235287287138,2742
8,189000.0,0.04,3.2,0.0297878139581321,0.039,3.28,6.481565575243071e-53,0.029057416070884967,2214
11,495000.0,0.04,3.3,0.0282972114247094,0.04,3.29,1.2845889776563546e-51,0.028162726453855105,2443
14,1134000.0,0.04,3.7,0.0262632436599673,0.04,3.71,7.466743525728285e-53,0.026131790861393167,2800
17,2574000.0,0.04,3.3,0.0301621814099087,0.04,3.32,2.6401512233307664e-52,0.02961818619596502,2119
20,5967000.0,0.04,3.4,0.0278500218451329,0.04,3.43,7.522472230850714e-53,0.02716743728991944,2457
23,13887000.0,0.04,2.9,0.0294157550839471,0.039,2.96,8.143891031971877e-54,0.028340997865666323,2410
26,31968000.0,0.03,2.5,0.0364672748632579,0.03,2.52,1.2061136196883547e-72,0.03569721913964058,1462
29,73701000.0,0.03,2.4,0.0344328271548135,0.03,2.44,2.2797300348067993e-73,0.03277345238690753,1686
32,59634000.0,0.04,3.2,0.0275400967894456,0.04,3.2,2.256654089007841e-55,0.02754009678944569,2301
